Feature,Description,Logistic Regression (|coef|),Random Forest (Gini),XGBoost (gain)
C1,C1: Sensational Headline,0.46570586352141774,0.30691818526463605,0.5993352554713758
C2,C2: Clickbait,0.0824728753245829,0.025738933164079988,0.06018850974808823
C3,C3: Emotional Arousal,0.028227682269267338,0.048247192267139444,0.03296728816988799
C4,C4: Attribution Gap,0.1425815381441142,0.18651425598202467,0.06028840340781362
C5,C5: Speculation,0.07639291112517782,0.10973864152040187,0.03770816340188743
C6,C6: Entertainment Displacement,0.15596317647190333,0.15678543794710004,0.1066779274742228
C7,C7: Headline-Body Coherence,0.04333540515308068,0.05718984240500137,0.06903954621046612
C8,C8: Sensitive Topic,0.0053205479904559405,0.10886751144961665,0.033794906116258
