Model,Zero-Shot F1,QLoRA F1,F1 Delta,Interpretation
Gemma-2-2B-it,0.1111,0.0506,0.0605,QLoRA hurts (zero-shot F1 > QLoRA F1) → 4-bit + small dataset degrades Bengali capability
Qwen2.5-3B-Instruct,0.0,0.05,-0.05,QLoRA helps (zero-shot F1 < QLoRA F1) → QLoRA improves but not enough
Phi-3-mini-4k,,0.0506,,FAILED (no zero-shot result)
Qwen2.5-7B-Instruct,0.0,0.075,-0.075,QLoRA helps (zero-shot F1 < QLoRA F1) → QLoRA improves but not enough
Llama-3.1-8B-Instruct,0.0256,0.0506,-0.025,QLoRA helps (zero-shot F1 < QLoRA F1) → QLoRA improves but not enough
Gemma-2-9B-it,0.2041,0.0506,0.1535,QLoRA hurts (zero-shot F1 > QLoRA F1) → 4-bit + small dataset degrades Bengali capability
