Classifier,F1 Mean,F1 Std,Accuracy,Precision,Recall,Kappa,MCC,AUC
Linear SVM,0.8304871804145593,0.04317023916627009,0.8394873100755454,0.8752523345199401,0.7914559125085441,0.6790490123054154,0.6830164414639571,0.902227898553941
Random Forest,0.8222612411929863,0.024521177101297285,0.8264069264069265,0.8422863054442002,0.8043403964456596,0.6528805723462725,0.6543453884005481,0.8860613753983543
XGBoost,0.817631102079875,0.02421449237165455,0.8198624904507259,0.8265545715930591,0.8095352016404649,0.6397441675577598,0.6403366624961018,0.8954165963906224
Logistic Regression,0.8091324325306019,0.06301284617655033,0.8199303964009845,0.8544225959986413,0.7706425153793576,0.639971852324417,0.6443816397433448,0.8982119555086061
KNN,0.8070154898403233,0.033592972241203646,0.8133604957134368,0.8330760285971721,0.7835269993164731,0.6267898451553918,0.628587447540172,0.8553776708595574
Decision Tree,0.8040494758595159,0.042803239478461964,0.8120787709023002,0.8358874030831471,0.7757006151742993,0.6241957873222159,0.6264805957271554,0.8216633673913236
Naive Bayes,0.7982133745157496,0.049519312502773895,0.8160088277735337,0.8822029558130817,0.7313738892686261,0.6320962477628367,0.6430171338755054,0.8853263619497385
